"Class","Aerosol","B","G","R","NIR","SWIR1","SWIR2","Cirrus","energy","entropy","corr","invDiffM","inertia","clusShade","clusProm","hCorr","mean","variance","dissim","sumAvg","sumVar","sumEntr","diffEntr","diffVar","IC1","IC2","SRE","LRE","GLNU","RLNU","RP","LGRE","HGLRE","SRLGLE","SRHGLE","LRLGLE","LRHGLE"
"2",0.25367,2.38353,-0.09448,0.70331,0.85124,0.55321,1.72823,1015.61359,10586,9780,9014,8915,12889,13557,10728,5056,1,1,32.68831,77,0.01769,58.14286,0.01769,58.14286,0.01769,58.14286,0,6.42562,0.40976,0,12.85124,0.78779,1.71332,1.21161,0.32438,-0.86352,0.87321
"2",0.19111,2.81209,0.44297,0.75289,0.75207,-0.02159,3.23542,1561.5625,10768,9914,9240,8383,20225,10387,7738,5060,1,1,27.58667,75,0.01628,63.45333,0.01628,63.45333,0.01628,63.45333,0,6.82231,0.47669,0,13.64463,1.1547,2.0195,1.1131,0.30389,-0.74904,0.88559
"2",0.12414,3.36102,0.32803,0.66116,1.17355,0.95861,9.84919,2158.75098,10788,10000,9390,9146,14554,13762,10296,5047,1,1,26.06494,77,0.01568,66.93507,0.01568,66.93507,0.01568,66.93507,0,6.98347,0.79312,0,13.96694,1.99891,2.40165,1.33417,0.44225,-0.75566,0.91745
"2",0.24674,2.55153,0.48492,0.75207,0.59504,0.4003,2.1068,1315.09106,10920,10208,9316,9027,14916,12276,9326,5037,1,1,32.48837,86,0.0149,69.26744,0.0149,69.26744,0.0149,69.26744,0,7.19008,0.36056,0,14.38017,0.84721,1.87443,1.07834,0.23188,-0.82753,0.88058
"2",0.11775,3.36603,0.53897,0.7,0.91736,0.63258,10.54092,2393.3667,10829,10018,9386,8975,15439,12764,9347,5063,1,1,24.3494,83,0.01571,67,0.01571,67,0.01571,67,0,7.02893,0.82974,0,14.05785,2.40161,2.48734,1.24095,0.35211,-0.73605,0.91461
"2",0.20033,2.95562,0.48003,0.70083,0.87603,-1.57477,7.43207,1744.24304,10753,9817,9316,8176,20398,11132,7940,5047,1,1,30.86047,86,0.01472,70.76744,0.01472,70.76744,0.01472,70.76744,0,7.56198,0.62632,0,15.12397,1.62926,2.2193,1.21947,0.33413,-0.80055,0.90301
"2",0.20248,2.91231,0.35976,0.70744,1.04132,2.79231,12.70912,1341.29565,10718,9915,9229,9007,14765,12965,9450,5053,1,1,24.24324,74,0.01665,63.72973,0.01665,63.72973,0.01665,63.72973,0,6.60331,0.69387,0,13.20661,1.73417,2.12287,1.24987,0.41138,-0.81957,0.90335
"2",0.39212,1.8754,0.51104,0.80826,0.46281,0.64567,1.59082,769.742,10682,9799,9026,8221,14455,9503,7159,5055,1,1,30.84848,66,0.01818,56.39394,0.01818,56.39394,0.01818,56.39394,0,6.28099,0.26815,0,12.56198,0.60979,1.43152,0.94204,0.19206,-0.8527,0.82103
"2",0.17444,2.76137,0.45468,0.7124,0.69421,-0.2384,2.22865,1733.25415,11392,10723,10406,10700,14696,15211,12533,5031,1,1,33.73563,87,0.01477,69.74712,0.01477,69.74712,0.01477,69.74712,0,7.3719,0.43194,0,14.7438,1.03354,1.98704,1.14813,0.25859,-0.80505,0.89166
"2",0.15125,3.2704,0.35541,0.66364,1.34711,0.29044,14.69198,2289.5481,10788,9901,9136,8464,11198,9241,7408,5055,1,1,24.10843,83,0.01605,66.72289,0.01605,66.72289,0.01605,66.72289,0,7.05372,1.11695,0,14.10744,3.12069,2.39664,1.35114,0.51945,-0.62828,0.88916
